City,Country,Latitude,Longitude,Year,Population
Kyoto,Japan,35.0,135.75,1950.0,1000000.0
Nagoya,Japan,35.15,136.92,1950.0,990000.0
Osaka-Kobe,Japan,34.63,135.51,1950.0,4150000.0
Sapporo,Japan,43.05,141.34,1950.0,750000.0
Sendai,Japan,38.25,140.89,1950.0,540000.0
Tokyo,Japan,35.68,139.8,1950.0,11280000.0
Almaty,Kazakhstan,43.25,76.91,1950.0,350000.0
Kabul,Afghanistan,34.53,69.13,1950.0,130000.0
Wien,Austria,48.2,16.32,1950.0,2090000.0
Amman,Jordan,31.94,35.93,1950.0,90000.0
Mombasa,Kenya,-4.05,39.65,1950.0,90000.0
Nairobi,Kenya,-1.26,36.8,1950.0,140000.0
Hamhung,Democratic People's Republic of Korea,39.91,127.55,1950.0,170000.0
N'ampo,Democratic People's Republic of Korea,38.73,125.4,1950.0,50000.0
P'yongyang,Democratic People's Republic of Korea,39.02,125.75,1950.0,520000.0
Bucheon,Republic of Korea,37.5,126.78,1950.0,30000.0
Busan,Republic of Korea,35.1,129.03,1950.0,950000.0
Daegu,Republic of Korea,35.86,128.6,1950.0,360000.0
Daejon,Republic of Korea,36.35,127.38,1950.0,130000.0
Goyang,Republic of Korea,37.65,126.8,1950.0,40000.0
Gwangju,Republic of Korea,35.16,126.91,1950.0,170000.0
Incheon,Republic of Korea,37.48,126.63,1950.0,260000.0
Seongnam,Republic of Korea,37.43,127.15,1950.0,50000.0
Seoul,Republic of Korea,37.54,126.93,1950.0,1020000.0
Suweon,Republic of Korea,37.26,127.01,1950.0,70000.0
Ulsan,Republic of Korea,35.55,129.31,1950.0,30000.0
Al Kuwayt (Kuwait City),Kuwait,29.38,47.97,1950.0,60000.0
Bishkek,Kyrgyzstan,42.87,74.77,1950.0,150000.0
Bayrut,Lebanon,33.88,35.49,1950.0,320000.0
Monrovia,Liberia,6.3,-10.79,1950.0,20000.0
Banghazi,Libyan Arab Jamahiriya,32.12,20.06,1950.0,50000.0
Tarabulus,Libyan Arab Jamahiriya,32.9,13.18,1950.0,110000.0
Antananarivo,Madagascar,-18.9,47.52,1950.0,180000.0
Johore Bharu,Malaysia,1.5,103.76,1950.0,50000.0
Klang,Malaysia,3.03,101.45,1950.0,40000.0
Kuala Lumpur,Malaysia,3.14,101.7,1950.0,210000.0
Bamako,Mali,12.65,-7.98,1950.0,90000.0
Aguascalientes,Mexico,21.88,-102.29,1950.0,90000.0
Chihuahua,Mexico,28.63,-106.07,1950.0,90000.0
Ciudad de México,Mexico,19.42,-99.12,1950.0,2880000.0
Ciudad Juárez,Mexico,31.73,-106.48,1950.0,120000.0
Culiacán,Mexico,24.8,-107.38,1950.0,50000.0
Guadalajara,Mexico,20.67,-103.34,1950.0,400000.0
León de los Aldamas,Mexico,21.11,-101.68,1950.0,120000.0
Mérida,Mexico,20.97,-89.62,1950.0,140000.0
Mexicali,Mexico,32.65,-115.46,1950.0,70000.0
Monterrey,Mexico,25.67,-100.31,1950.0,360000.0
Puebla,Mexico,19.04,-98.19,1950.0,230000.0
Querétaro,Mexico,20.58,-100.38,1950.0,50000.0
Saltillo,Mexico,25.41,-100.99,1950.0,70000.0
San Luis Potosí,Mexico,22.15,-100.97,1950.0,130000.0
Tijuana,Mexico,32.52,-117.03,1950.0,60000.0
Toluca de Lerdo,Mexico,19.28,-99.66,1950.0,50000.0
Torreón,Mexico,25.55,-103.76,1950.0,190000.0
Ulaanbaatar,Mongolia,47.92,106.91,1950.0,70000.0
Chittagong,Bangladesh,22.32,91.82,1950.0,290000.0
Dhaka,Bangladesh,23.7,90.4,1950.0,340000.0
Khulna,Bangladesh,22.84,89.55,1950.0,40000.0
Rajshahi,Bangladesh,24.35,88.63,1950.0,40000.0
Dar-el-Beida,Morocco,33.6,-7.63,1950.0,620000.0
Fès,Morocco,34.04,-4.99,1950.0,160000.0
Marrakech,Morocco,31.63,-8.01,1950.0,210000.0
Rabat,Morocco,34.01,-6.83,1950.0,140000.0
Maputo,Mozambique,-25.96,32.57,1950.0,90000.0
Yerevan,Armenia,40.2,44.53,1950.0,340000.0
Kathmandu,Nepal,27.71,85.31,1950.0,100000.0
Amsterdam,Netherlands,52.37,4.89,1950.0,850000.0
Rotterdam,Netherlands,51.92,4.48,1950.0,760000.0
Auckland,New Zealand,-36.9,174.76,1950.0,320000.0
Managua,Nicaragua,12.15,-86.27,1950.0,110000.0
Antwerpen,Belgium,51.2,4.42,1950.0,760000.0
Bruxelles-Brussel,Belgium,50.83,4.36,1950.0,1420000.0
Niamey,Niger,13.51,2.12,1950.0,20000.0
Abuja,Nigeria,9.05,7.25,1950.0,20000.0
Benin City,Nigeria,6.33,5.62,1950.0,50000.0
Ibadan,Nigeria,7.37,3.89,1950.0,420000.0
Ilorin,Nigeria,8.49,4.54,1950.0,110000.0
Kaduna,Nigeria,10.51,7.44,1950.0,30000.0
Kano,Nigeria,11.99,8.49,1950.0,120000.0
Lagos,Nigeria,6.45,3.3,1950.0,300000.0
Maiduguri,Nigeria,11.85,13.16,1950.0,50000.0
Ogbomosho,Nigeria,8.13,4.25,1950.0,120000.0
Port Harcourt,Nigeria,4.78,7.0,1950.0,60000.0
Zaria,Nigeria,11.06,7.7,1950.0,50000.0
Oslo,Norway,59.93,10.71,1950.0,470000.0
Faisalabad,Pakistan,31.4,73.08,1950.0,170000.0
Gujranwala,Pakistan,32.15,74.18,1950.0,120000.0
Hyderabad,Pakistan,25.38,68.36,1950.0,230000.0
Islamabad,Pakistan,33.71,73.06,1950.0,40000.0
Karachi,Pakistan,24.89,67.02,1950.0,1060000.0
Lahore,Pakistan,31.54,74.34,1950.0,840000.0
Multan,Pakistan,30.2,71.41,1950.0,190000.0
Peshawar,Pakistan,34.0,71.54,1950.0,150000.0
Quetta,Pakistan,30.2,67.01,1950.0,80000.0
Rawalpindi,Pakistan,33.6,73.04,1950.0,230000.0
Ciudad de Panamá (Panama City),Panama,9.0,-79.51,1950.0,170000.0
Asunción,Paraguay,-25.3,-57.62,1950.0,260000.0
Arequipa,Peru,-16.39,-71.52,1950.0,130000.0
Lima,Peru,-12.08,-77.04,1950.0,1070000.0
Cebu,Philippines,10.42,123.79,1950.0,180000.0
Davao,Philippines,7.08,125.61,1950.0,120000.0
Manila,Philippines,14.61,120.96,1950.0,1540000.0
Zamboanga,Philippines,6.9,122.06,1950.0,110000.0
Kraków,Poland,50.06,19.94,1950.0,340000.0
Lódz,Poland,51.77,19.47,1950.0,610000.0
Warszawa,Poland,52.24,21.01,1950.0,770000.0
Lisboa,Portugal,38.72,-9.12,1950.0,1300000.0
Porto,Portugal,41.16,-8.58,1950.0,730000.0
San Juan,Puerto Rico,18.8,-71.22,1950.0,450000.0
Bucuresti,Romania,44.43,26.12,1950.0,650000.0
Chelyabinsk,Russian Federation,55.14,61.39,1950.0,570000.0
Kazan,Russian Federation,55.73,49.14,1950.0,510000.0
Krasnoyarsk,Russian Federation,56.01,92.83,1950.0,290000.0
Moskva,Russian Federation,55.74,37.7,1950.0,5360000.0
Nizhniy Novgorod,Russian Federation,58.54,31.27,1950.0,800000.0
Novosibirsk,Russian Federation,55.03,82.94,1950.0,720000.0
Omsk,Russian Federation,55.06,73.25,1950.0,440000.0
Perm,Russian Federation,58.0,56.23,1950.0,500000.0
Rostov-na-Donu,Russian Federation,47.23,39.68,1950.0,480000.0
Samara,Russian Federation,53.23,50.16,1950.0,660000.0
Sankt Peterburg,Russian Federation,59.91,30.24,1950.0,2900000.0
Saratov,Russian Federation,51.49,45.95,1950.0,470000.0
Ufa,Russian Federation,54.82,56.09,1950.0,420000.0
Volgograd,Russian Federation,48.7,44.48,1950.0,460000.0
Voronezh,Russian Federation,51.71,39.26,1950.0,330000.0
Yekaterinburg,Russian Federation,56.83,60.58,1950.0,630000.0
Kigali,Rwanda,-1.95,30.05,1950.0,20000.0
La Paz,Bolivia,-16.5,-68.15,1950.0,320000.0
Santa Cruz,Bolivia,-17.78,-63.19,1950.0,40000.0
Ad-Dammam,Saudi Arabia,26.33,50.08,1950.0,20000.0
Al-Madinah,Saudi Arabia,24.42,39.69,1950.0,50000.0
Ar-Riyadh,Saudi Arabia,24.65,46.77,1950.0,110000.0
Jiddah,Saudi Arabia,21.54,39.17,1950.0,120000.0
Makkah,Saudi Arabia,21.42,39.81,1950.0,150000.0
Dakar,Senegal,14.68,-17.45,1950.0,210000.0
Beograd,Serbia,44.79,20.41,1950.0,410000.0
Freetown,Sierra Leone,8.48,-13.23,1950.0,90000.0
Singapore,Singapore,1.26,103.83,1950.0,1020000.0
Hà Noi,Viet Nam,21.03,105.82,1950.0,280000.0
Hai Phòng,Viet Nam,20.86,106.67,1950.0,170000.0
Thành Pho Ho Chí Minh,Viet Nam,10.75,106.66,1950.0,1210000.0
Muqdisho,Somalia,2.04,45.34,1950.0,70000.0
Cape Town,South Africa,-33.97,18.48,1950.0,620000.0
Durban,South Africa,-29.83,30.94,1950.0,480000.0
Ekurhuleni,South Africa,-26.17,28.22,1950.0,550000.0
Johannesburg,South Africa,-26.17,28.0,1950.0,900000.0
Port Elizabeth,South Africa,-33.88,25.48,1950.0,190000.0
Pretoria,South Africa,-25.73,28.21,1950.0,280000.0
Vereeniging,South Africa,-26.67,27.93,1950.0,120000.0
Harare,Zimbabwe,-17.82,31.02,1950.0,140000.0
Barcelona,Spain,41.38,2.18,1950.0,1810000.0
Madrid,Spain,40.44,-3.69,1950.0,1700000.0
Valencia,Spain,39.47,-0.36,1950.0,510000.0
Al-Khartum,Sudan,15.55,32.52,1950.0,180000.0
Stockholm,Sweden,59.33,17.99,1950.0,740000.0
Zürich,Switzerland,47.4,8.53,1950.0,490000.0
Baixada Santista,Brazil,-23.95,-46.36,1950.0,250000.0
Belém,Brazil,-1.43,-48.49,1950.0,240000.0
Belo Horizonte,Brazil,-19.85,-43.9,1950.0,410000.0
