year,geo_name,geo,income
2015,"South Dakota","04000US46",50957.0
2015,"Tennessee","04000US47",45219.0
2015,"Texas","04000US48",53207.0
2015,"Utah","04000US49",60727.0
2015,"Virginia","04000US51",65015.0
2015,"Vermont","04000US50",55176.0
2015,"Washington","04000US53",61062.0
2015,"Wisconsin","04000US55",53357.0
2015,"West Virginia","04000US54",41751.0
2015,"Wyoming","04000US56",58840.0
2016,"Alabama","04000US01",44758.0
2016,"Alaska","04000US02",74444.0
2016,"Arizona","04000US04",51340.0
2016,"Arkansas","04000US05",42336.0
2016,"California","04000US06",63783.0
2016,"Colorado","04000US08",62520.0
2016,"Connecticut","04000US09",71755.0
2016,"Delaware","04000US10",61017.0
2016,"District of Columbia","04000US11",72935.0
2016,"Florida","04000US12",48900.0
2016,"Georgia","04000US13",51037.0
2016,"Hawaii","04000US15",71977.0
2016,"Idaho","04000US16",49174.0
2016,"Illinois","04000US17",59196.0
2016,"Indiana","04000US18",50433.0
2016,"Iowa","04000US19",54570.0
2016,"Kansas","04000US20",53571.0
2016,"Kentucky","04000US21",44811.0
2016,"Louisiana","04000US22",45652.0
2016,"Maine","04000US23",50826.0
2016,"Maryland","04000US24",76067.0
2016,"Massachusetts","04000US25",70954.0
2016,"Michigan","04000US26",50803.0
2016,"Minnesota","04000US27",63217.0
2016,"Mississippi","04000US28",40528.0
2016,"Missouri","04000US29",49593.0
2016,"Montana","04000US30",48380.0
2016,"Nebraska","04000US31",54384.0
2016,"Nevada","04000US32",53094.0
2016,"New Hampshire","04000US33",68485.0
2016,"New Jersey","04000US34",73702.0
2016,"New Mexico","04000US35",45674.0
2016,"New York","04000US36",60741.0
2016,"North Carolina","04000US37",48256.0
2016,"North Dakota","04000US38",59114.0
2016,"Ohio","04000US39",50674.0
2016,"Oklahoma","04000US40",48038.0
2016,"Oregon","04000US41",53270.0
2016,"Pennsylvania","04000US42",54895.0
2016,"Rhode Island","04000US44",58387.0
2016,"South Carolina","04000US45",46898.0
2016,"South Dakota","04000US46",52078.0
2016,"Tennessee","04000US47",46574.0
2016,"Texas","04000US48",54727.0
2016,"Utah","04000US49",62518.0
2016,"Vermont","04000US50",56104.0
2016,"Virginia","04000US51",66149.0
2016,"Washington","04000US53",62848.0
2016,"West Virginia","04000US54",42644.0
2016,"Wisconsin","04000US55",54610.0
2016,"Wyoming","04000US56",59143.0
2016,"Puerto Rico","04000US72",19606.0
